date,tweet,sentiment,saham
2026-01-01,https://ipol.id/2026/01/optimis-menyambut-tahun-2026-direktur-utama-bri-tegaskan-keyakinan-pada-transformasi-dan-strategi-pertumbuhan-jangka-panjang/#google_vignettehttp://IPOL.ID–PTBankRakyatIndonesia(Persero)Tbk(BBRI)meyakinikinerjaperseroanakansemakinbaikdalambeberapatahunkedepanseiringberjalannyatransformasiyangdilakukan.#bri#bankbri#bbri#ipol,netral,bbri
2026-01-01,"invest 100jt an di $BBRI awal Desember 2025, di 2030 jd brp? sering bgt liat iklan kalo invest xxxx 5 thn lalu, skrg sudah jd 2-3x, disini ane mau coba lakuin itu dividen yg diterima akan diinvestasikan kembali saat cair disclaimer: not financial advice",positif,bbri
2026-01-01,Salut,netral,bbri
2026-01-01,"Nasib Saham BBRI, BUMI, dan BBCA #saham #infosaham #investasi",negatif,bbri
2026-01-01,"Dampak aturan ini ke Saham Indonesia: - Harga daging global bisa naik → potensi dorong inflasi. - Emiten peternakan ($CPIN, $JPFA) bisa diuntungkan. - Emiten konsumer ($ICBP, $MYOR) bisa tertekan margin.",netral,icbp
2026-01-01,PT Telkom Indonesia Tbk (TLKM) terus menjalankan strategi korporasi untuk menjaga pertumbuhan bisnis di tengah tekanan industri telekomunikasi dan percepatan transformasi digital nasional. Meski sepanjang Januari hingga September 2025 pendapatan konsolidasi tercatat sekitar,positif,tlkm
2026-01-01,"@yukbisayuklin Halo Sahabat @yukbisayuklin , untuk tanggal 2 Januari 2026 layanan kantor cabang sudah beroperasional kembali pada pukul 08.00-15.00 wakti setempat. Untuk operasional kantor cabang Bank Mandiri dpt diakses melalui http://bmri.id/infocabangataumelaluiMITAdi",netral,bmri
2026-01-01,"JAKARTA – PT Darma Henwa Tbk (DEWA), kontraktor tambang milik Grup Bakrie, telah memperoleh fasilitas kredit senilai Rp5 triliun dari PT Bank Central Asia Tbk (BBCA) atau BCA dan PT Bank Mandiri (Persero) Tbk (BMRI). Baca selengkapnya: https://idnfinancials.com/id/news/59999/dewa-milik-grup-bakrie-utang-rp5-triliun-ke-bca-dan-bank-mandiri",netral,bmri
2026-01-01,"Nikmati Shopee 1.1 New Year Sale, diskon s.d. Rp1.050.000* pakai Mandiri Kartu Kredit. Berlaku hingga 2 Januari 2026. *Info lengkap: http://bmri.id/shopee11BankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.#MandiriKartuKredit#BankMandiri",positif,bmri
2026-01-01,"Nikmati Special Dessert Slice Cake of the Day* pakai Mandiri Kartu Kredit di Wolfgang’s Steakhouse, berlaku s.d. 31 Maret 2026. *Info lengkap: http://bmri.id/wolfgangs26BankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.#MandiriKartuKredit",positif,bmri
2026-01-01,"Nikmati diskon s.d. 15%* setiap bulan di tanggal kembar untuk booking hotel favoritmu di Agoda pakai Mandiri Debit Visa Platinum. Berlaku hingga 3 Maret 2026. *Info: http://bmri.id/debitvisaagodaBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia,serta",positif,bmri
2026-01-02,Minus gara gara BBRI anjrit,negatif,bbri
2026-01-02,BUMN q pilih bbri yg lain boncos,negatif,bbri
2026-01-02,"7 jutaan dr bbri, adro, ptba",netral,bbri
2026-01-02,"Saham ane masih datang bulan , BBRI koreksi lagi ,",negatif,bbri
2026-01-02,Saham BBRI Banyak Dilepas Asing #saham #infosaham #investasi,negatif,bbri
2026-01-02,"Saham BBCA, BBRI, dan DEWA menunjukkan pergerakan campuran di Bursa Efek Indonesia pada 2 Januari 2026. Baca selengkapnya",netral,bbri
2026-01-02,"Kak, kenapa BBRI turun terus?",negatif,bbri
2026-01-02,"#IHSG menutup perdagangan terakhir 2025 naik tipis 0,03% ke 8.646,94, dengan kenaikan tahunan 22,13% Tekanan datang dari BBRI & ADRO ex-dividend serta koreksi harga emas Secara teknikal, tekanan jual mulai mereda & berpeluang lanjut menguat ke 8.680–8.725 #StocksInFocus",positif,bbri
2026-01-02,"Berdasarkan analisis dari berbagai sumber seperti Arreza MP dan Kontan, sektor IHSG potensial naik di Q1 2026: 1. **Perbankan**: BBCA, BBRI, BMRI. Alasan: Penurunan suku bunga, pertumbuhan kredit stabil, efisiensi tinggi. 2. **Konsumer**: ICBP, MYOR, UNVR. Alasan: Dorongan",positif,bbri
2026-01-02,Saham BBCA BBRI BMRI dan BBNI Terkoreksi Pada Sesi 1 Hari Ini https://jurnalzone.id/saham-bbca-bbri-bmri-dan-bbni-terkoreksi-pada-sesi-1-hari-ini/,negatif,bbri
2026-01-02,Waduh IEP $BBNI kog gini $BBRI udah duluan kebanting kemaren akhir tahun; jadi kini agak slow nge’drop,negatif,bbri
2026-01-02,4 jt dari bbri doang tpi minusnya 18 jt,netral,bbri
2026-01-02,bbri merah mulu tp alhamdulillah yg lain ijooooo,negatif,bbri
2026-01-02,Dapat berapa lot BBRI?,netral,bbri
2026-01-02,bbri,netral,bbri
2026-01-02,"Hari ini hampir semua saham ijo, ntah kenapa yg namanya bigbank malah ga ijo2 di tahun baru ini #BBRI ini mau dibawa kemana sebenarnya",netral,bbri
2026-01-02,"Saham Bank Jumbo BBCA, BBRI hingga BMRI Masih Jadi Andalan 2026",positif,bbri
2026-01-02,"Ia lah bang, masa rejeki nga di manfaatkan, bayangkan beli bbri 3600 ,IHSG 15rb, BBRI pasti jd 8000/share di goreng JP Morgan, ya jual lipet jd BYD lah, masa nga di manfaatkan beginian ?",positif,bbri
2026-01-02,"Berdasarkan analisis dari berbagai sumber seperti Arreza MP dan Kontan, sektor IHSG potensial naik di Q1 2026: 1. **Perbankan**: BBCA, BBRI, BMRI. Alasan: Penurunan suku bunga, pertumbuhan kredit stabil, efisiensi tinggi. 2. **Konsumer**: ICBP, MYOR, UNVR. Alasan: Dorongan",positif,icbp
2026-01-02,"Berdasarkan analisis terkini, beberapa saham Indonesia potensial untuk jangka panjang (2026+): - BBCA (Bank Central Asia): Stabil dengan pertumbuhan kredit kuat dan dividen konsisten. - TLKM (Telkom Indonesia): Didorong ekspansi digital dan permintaan data. - ASII (Astra",positif,tlkm
2026-01-02,Dca TLKM bagus gak bang?,positif,tlkm
2026-01-02,"Update Watchlist Saham Pribadi / Indeks Pribadi : Jumat, 02 Januari 2025 (Closing) I = UNTR. II = MDKA, NISP, TLKM, TUGU, MNCN. III = BRMS, MBMA, PNLF, ASII, ISAT. *Desclaimer on : bukan ajakan beli atau jual. Murni hanya berbagi opini pandangan pribadi.",positif,tlkm
2026-01-02,"Cuma punya bmri, tapi lumayan buat jajan setelah lebaran wkwk",positif,bmri
2026-01-02,beli bmri bang buat pengsiun TStdzMiBpMHUBydLvFFVrHmjRiGssWdWM7,netral,bmri
2026-01-02,Nikmati diskon s.d. 60%* + cicilan 0% s.d. 24 bulan* untuk furniture di Selma pakai Mandiri Kartu Kredit. Berlaku s.d. 12 Januari 2026. *Info lengkap: http://bmri.id/selmaBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.#MandiriKartuKredit,positif,bmri
2026-01-02,"Dapatkan cashback Rp50 ribu* dengan transaksi pakai Mandiri Kartu Kredit atau QR Bayar Livin’ by Mandiri di Grand Waterfront. Berlaku hingga 4 Januari 2026. *Info lengkap: http://bmri.id/jktwaterfront3BankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia,",netral,bmri
2026-01-02,Nikmati diskon s.d. Rp1 juta* dan cicilan 0% s.d. 24 bulan* untuk belanja gadget di Hello pakai Mandiri Kartu Kredit. Berlaku hingga 4 Januari 2026. *Info lengkap: http://bmri.id/hohohelloBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.,positif,bmri
2026-01-02,"Rupiah Dibuka Melemah, Cek Kurs Dolar AS di BMRI, BCA, BRI dan BNI Hari Ini",negatif,bmri
2026-01-02,Nasib BMRI dan Proyeksi Bank-bank Besar di 2026 #saham #infosaham #investasi,netral,bmri
2026-01-02,"Waspada! Link palsu mengincar data Hati‑hati dengan URL mirip Bank Mandiri, jangan masukkan nomor kartu, CVV, OTP, PIN, atau password di situs mencurigakan. Lindungi data Anda dan pelajari selengkapnya di http://bmri.id/JagaDataRahasiaBankMandiriBerizindanDiawasioleh",negatif,bmri
2026-01-02,Saham BBCA BBRI BMRI dan BBNI Terkoreksi Pada Sesi 1 Hari Ini https://jurnalzone.id/saham-bbca-bbri-bmri-dan-bbni-terkoreksi-pada-sesi-1-hari-ini/,negatif,bmri
2026-01-02,"Saham Bank Jumbo BBCA, BBRI hingga BMRI Masih Jadi Andalan 2026",positif,bmri
2026-01-02,"Update Watchlist Saham Pribadi / Indeks Pribadi : Jumat, 02 Januari 2025 (Closing) I = UNTR. II = MDKA, NISP, TLKM, TUGU, MNCN. III = BRMS, MBMA, PNLF, ASII, ISAT. *Desclaimer on : bukan ajakan beli atau jual. Murni hanya berbagi opini pandangan pribadi.",positif,isat
2026-01-02,"Stock Picks 2 Januari 2026 UNVR Spec Buy dengan support 2550, cut loss jika break di bawah 2500. Jika tidak break di bawah 2550, potensi naik ke 2650-2700 short term. Disclaimer: http://bit.ly/disclaimer-cgsiid#cgsi#cgsid#stockpicks#sobatgenvest#akuinvestorsaham",netral,unvr
2026-01-02,Diawal tahun enaknga beli saham unvr atau ptba ya,positif,unvr
2026-01-02,"Selama saham beredar di publik sedikit, konglo akan mudah mengurang harga saham setinggi langit, liat aja market cap saham2 gorengan konglo yg PBV PER ga masuk akal, dolo pengerak ihsg adl saham2 funda (bbca, bank bumn, asii, unvr, indf dll) skr udah berubah jd saham2 konglo",negatif,unvr
2026-01-02,"Berdasarkan analisis dari berbagai sumber seperti Arreza MP dan Kontan, sektor IHSG potensial naik di Q1 2026: 1. **Perbankan**: BBCA, BBRI, BMRI. Alasan: Penurunan suku bunga, pertumbuhan kredit stabil, efisiensi tinggi. 2. **Konsumer**: ICBP, MYOR, UNVR. Alasan: Dorongan",positif,unvr
2026-01-02,"Halo! Berdasarkan analisis terkini (2 Jan 2026), IHSG dibuka menguat ~0.4% ke 8.676. Rekomendasi saham populer hari ini dari berbagai analis: ADRO (buy target 3.200), IMPC (buy 2.500), PTRO (buy 7.000), UNVR (accum buy 2.690). Sumber: MNC Sekuritas, Ajaib, dll. Ingat, ini bukan",positif,unvr
2026-01-03,"Jadi Sasaran Jual Asing, BBRI, BMRI Cs Jeblok pada Perdagangan Perdana 2026",negatif,bbri
2026-01-03,Plis turunin bbri ampe 3600 ampe 3400 juga gapapa yaAllah,netral,bbri
2026-01-03,"Melalui Tenun Modern dan Pameran BRI, Kriti by Lusy Jajaki Potensi Wastra Nusantara di Pasar Mancanegara #BRI #BBRI #WastraNusantara #PemberdayaanPendampinganUMKM",netral,bbri
2026-01-03,"saham bluechip itu kaya BBCA, BBRI, TLKM gt kak atau kamu bisa coba saham yang masuk ke lq45 (45 perusahaan yg likuiditas tinggi/laris manis lah bahasa simple nya wkwk) contoh nya ANTM, UNTR",positif,bbri
2026-01-03,"saham bluechip itu kaya BBCA, BBRI, TLKM gt kak atau kamu bisa coba saham yang masuk ke lq45 (45 perusahaan yg likuiditas tinggi/laris manis lah bahasa simple nya wkwk) contoh nya ANTM, UNTR",positif,tlkm
2026-01-03,Bmri koreksi g? Mayan itu nambah lot buat gedein dividen wkwkwk,negatif,bmri
2026-01-03,Dapatkan diskon s.d. Rp75 ribu* di Marugame Udon pakai Mandiri Kartu Kredit! Berlaku s.d. 30 Juni 2026! *Info lengkap: http://bmri.id/marugameBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.#MandiriKartuKredit#BankMandiri,netral,bmri
2026-01-03,"Dividen Interim Bank Mandiri (BMRI) Segera Masuk Cum Date, Cek Potensi Yieldnya http://keuangan.kontan.co.id/news/dividen-interim-bank-mandiri-bmri-segera-masuk-cum-date-cek-potensi-yieldnya#bank",positif,bmri
2026-01-03,"Jadi Sasaran Jual Asing, BBRI, BMRI Cs Jeblok pada Perdagangan Perdana 2026",negatif,bmri
2026-01-03,Penawaran spesial produk dan program Mandiri Kartu Kredit dilakukan lewat channel telesales dengan Caller ID 14037! Periode hingga 31 Desember 2026. *Info lengkap: http://bmri.id/telesalesBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.,positif,bmri
2026-01-04,"How about BBNI and BBRI, sir?",netral,bbri
2026-01-04,"Halo! Prediksi saham bukan ramalan pasti, pasar bisa volatile. Berdasarkan tren IDX awal 2026 yang positif (January effect), saham seperti ANTM, BRMS, atau BBRI mungkin naik >5% besok, terutama di sektor tambang & bank. Tapi ini spekulasi—riset sendiri & konsultasi ahli ya.",positif,bbri
2026-01-04,"Bank BUMN seperti BBRI dan BMRI diprediksi naik tinggi di 2026 berdasarkan analisis dari Kontan, Investor Daily, dan Katadata. Target harga: BBRI Rp5.800, BMRI Rp7.800. BRIS (juga BUMN) sudah saya sebut sebelumnya. Prediksi bisa berubah sesuai kondisi ekonomi.",positif,bbri
2026-01-04,Sent!,netral,bbri
2026-01-04,BBRI Jadi Bulan-bulanan #saham #infosaham #investasi,netral,bbri
2026-01-04,"Bisa lirik perbankan juga jika ingin dividen yang sustain kedepannya $BMRI, $BBCA , $BBRI, $BBNI dan $BJBR yang harga masih under 1000",positif,bbri
2026-01-04,"Bentar, PNBS sama AGRO gak dikecualikan ya? Soale PNBS kan anak PNBN en AGRO anak BBRI. Seingat saya, bank yg jd subsidiary & masuk ke konglomerasi keuangan dikecualikan dr kewajiban tsb",netral,bbri
2026-01-04,"Udah resmi, under Pepsi, bukan ICBP lagi",netral,icbp
2026-01-04,"Tunggu di support pabrik indomie ini sudah sangat dalem koreksinya, bisa potensi double bottom $ICBP",positif,icbp
2026-01-04,Intip Prospek dan Rekomendasi Saham Konsumer INDF dan ICBP di Tahun 2026 http://investasi.kontan.co.id/news/intip-prospek-dan-rekomendasi-saham-konsumer-indf-dan-icbp-di-tahun-2026#RekomendasiSaham,positif,icbp
2026-01-04,Artinya HAKA TLKM,netral,tlkm
2026-01-04,Nasib BMRI dan Proyeksi Bank-bank Besar di 2026,netral,bmri
2026-01-04,"Nikmati cicilan 0% s.d. 24 bulan* dan diskon s.d. 20%* tukar Livin’poin pakai Mandiri Kartu Kredit/Debit. Promo berlaku hingga 30 September 2026. *Info selengkapnya: http://bmri.id/SeibuDeptStoreBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia,",positif,bmri
2026-01-04,"Bisa lirik perbankan juga jika ingin dividen yang sustain kedepannya $BMRI, $BBCA , $BBRI, $BBNI dan $BJBR yang harga masih under 1000",positif,bmri
2026-01-04,"Haha, beneran nih prediksi dari analis terkini (sumber: http://investor.id&CNBCIndonesia).IHSGbesokpotensinaikke8.800.Sahamygdirekom:ASII,UNVR,UNTR,MEDC,INCO,PGAS.Tapipasarvolatile,cekIDXlangsungya!",netral,unvr
2026-01-04,"Wajar skeptis, bro. Prediksi IHSG 5 Januari 2026 dari berbagai sumber ( http://kontan.co.id,cnbcindonesia,http://bisnis.com)bilangpotensimenguatke8.700-8.800.Sahampotensial:ASII,UNVR,TOTL,INTP.BuatARA,gakadayangpasti—cekIDXatauapptradingsendiri",positif,unvr
2026-01-05,"selama masih dibawah 4.000 serok, tunggu sampai 5.000 sell, BBRI siklus gitu terus selama 7 tahun terakhir.",netral,bbri
2026-01-05,BBRI bukan big banks kah,netral,bbri
2026-01-05,"Sobat BRI, Kini investasi emas makin mudah dan lengkap cukup pakai BRImo. Kamu bisa cetak emas fisik dan bebas PPh 22 0,25%. Tahun baru saatnya mulai investasi cerdas dengan nabung emas di BRImo. Info lebih lanjut: http://bbri.id/brimoemas#BRImoMudahSerbaBisa",positif,bbri
2026-01-05,"sabarrrr, nanti giliran saya ngeledek pake bbri",netral,bbri
2026-01-05,BERITA POPULER: Harga Emas Antam (ANTM) Anjlok Parah hingga BBRI Dibanting Keras https://investor.id/market/423583/berita-populer-harga-emas-antam-antm-anjlok-parah-hingga-bbri-dibantingkerasvia@InvestorID,negatif,bbri
2026-01-05,Pusing bbri,negatif,bbri
2026-01-05,"$BBRI aku bottom fishing di 3.580 pagi tadi ga kejemput. Malah ada indikasi balik ke harga awal 3.640 Ini kalau bisa closing hijau candle mantap, siap2 rebound sih",positif,bbri
2026-01-05,"Hai! Berdasarkan prediksi terkini dari sumber seperti Pikiran Rakyat & Kontan, IHSG besok (6 Jan 2026) berpotensi konsolidasi dengan peluang menguat terbatas. Saham potensial: BULL, BUVA, IMPC, ETF XIHD (rekomendasi IPOT), & sektor LQ45 seperti BBRI. Lo Kheng Hong optimis thn",positif,bbri
2026-01-05,start januari 2026 ini aset gw di bbri dan rdpt,netral,bbri
2026-01-05,"terakhir $BBRI harga 5.000an itu Oktober 2024 alias udah lebih dari 1 tahun silam, bang SinarCahaya ... semoga 2026 ini $BBRI kembali menuju >5.000an lagi ya Om bandar",netral,bbri
2026-01-05,$TLKM Ideal entry 3.420 – 3.480 Target Profit3.700+ Stop Loss< 3.340 DYOR Bukan ajakan membeli,positif,tlkm
2026-01-05,Tolong kerjasamanya hari ini 3510 $TLKM,netral,tlkm
2026-01-05,"Hari kedua bursa, $IHSG ditutup naik 1,27%, lanjut 4 hari berturut-turut dan cetak ATH baru. Nilai transaksi 30,32T. Hampir semua sektor menguat, kecuali Techno. Sub-sektor Asuransi mayoritas naik, ABDA stagnan. Top Sektor: Basic-Ind Top Leadings: $BYAN, $BRMS, $TLKM",positif,tlkm
2026-01-05,INI EMG TLKM NGELAG AP GMN,netral,tlkm
2026-01-05,"Yuk, apply dan tingkatkan transaksi Mandiri Kartu Kredit JCB Precious dan menangkan tiket pesawat PP ke Jepang* & tiket Universal Studios Japan*! Kesempatan ini berlaku hingga 28 Februari 2026. *Info lengkap: http://bmri.id/jcbluckydrawBankMandiriberizindandiawasioleh",positif,bmri
2026-01-05,BMRI saya jangan lupa diajak huuu,negatif,bmri
2026-01-05,bca naik bmri ga naikkk” asli deh hbs dpt dividen ku pindah aja lah,positif,bmri
2026-01-05,"Minimal kalo mau nipu mikir2 lagi dah, masa iya ngaku2 dari BMRI mau nipu mantan karyawannya WKWKWKWK",netral,bmri
2026-01-05,Dapatkan diskon 10%* dan + diskon s.d. 20%* dengan tukar Livin’poin untuk belanja brand fashion MAP pakai Mandiri Kartu Kredit/Debit. Berlaku hingga 31 Desember 2026. *Info lengkap: http://bmri.id/MAPfashion1BankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBank,netral,bmri
2026-01-05,"Kinerja UNVR Diproyeksi Solid pada 2026, Cermati Rekomendasi Analis http://investasi.kontan.co.id/news/kinerja-unvr-diproyeksi-solid-pada-2026-cermati-rekomendasi-analis#RekomendasiSaham",positif,unvr
2026-01-05,"Baru nyadar ada virtual porto stockbit yang udah lupa entah kapan belinya (kayaknya si 2021) - BBCA ga keitung harga setelah SS, avg price masih 30k - UNVR 7k WKWK akankah kesana lagi? - ITMG bagger",positif,unvr
2026-01-06,"Msh sideway bang, bbri fear to the max , bgs buat beli pelan2",netral,bbri
2026-01-06,Bbri bang,negatif,bbri
2026-01-06,@talkwithdicky haka bbri biar ihsg 9k,netral,bbri
2026-01-06,Gasss bbri,positif,bbri
2026-01-06,"uhuy dapet email dividen bbri.. dah siap menuju tanggal 15, pertengahan bulan yang lebih baik hahaha",positif,bbri
2026-01-06,"oh my porto yang merah cuma $IOTF doang , ama $BBRI di broker lain, tapi masih mending dia ngasih dividen",netral,bbri
2026-01-06,"3M itu kalau mau beli saham BJTM, bisa dapet 300jt/th lho dari deviden, atau BBRI bisa 240an jt/th sama dengan 20an jt/ bulan, belum kalau mau beli saham yg DY nya diatas 10%, malah bingung liat cara mainnya??",positif,bbri
2026-01-06,jujur karena at some point w dah liat bubble bang noel jadi lucu bgt ini when ya bbri 500%,negatif,bbri
2026-01-06,"IHSG TECHNICAL VIEW (06/01/26) IHSG kemarin ditutup naik 1.27%, tapi disertai dengan net sell asing ~9.98 Miliar. Saham yang paling banyak dijual asing adalah BUMI, MEDC, BBRI, EMAS dan JPFA.",negatif,bbri
2026-01-06,"$IHSG ATH intraday dan ditutup naik 0,84%, rally 5 hari berturut-turut. Mayoritas sektor naik terkecuali Transportasi. Total transaksi 34,16T. NFB All Market 590,94B. Top Sector: Basic-Ind, Industrial Top Leaders: $AMMN, $BBCA , $BBRI Top Laggards: $BMRI, $TLKM, $DSSA",positif,bbri
2026-01-06,Rekomendasi untuk Saham Bank Rakyat Indonesia (BBRI) pada Awal 2026,positif,bbri
2026-01-06,"Bang, aku follow nyari stockpick loh, yg didapet cuma template keributan sama BBRI doang masa wkwk",negatif,bbri
2026-01-06,"teringat awal bulan Desember kemarin rencana mau nabung bbri untuk investasi, eh besoknya naik 3%, langsung jual aje. Awkwkwkwowk cilok",positif,bbri
2026-01-06,BBRI balik ke 3400 aja dulu,netral,bbri
2026-01-06,BBRI ISH IIZUK U,netral,bbri
2026-01-06,"Bang buat orang yg masih awam trading, waktu yg tepat utk beli saham bluechip yg bagi dividen apakah setelah exdate? misal BMRI, BBRI. Untuk belinya bagusnya dicicil sampai ada cumdatenya kah?",positif,bbri
2026-01-06,"Mental trading berbeda dengan mental investor cara bermain saham.. beli BBRI aja sudah dapat hampir 1 juta lembar saham, dividen 9,5% setahun..!!",positif,bbri
2026-01-06,"Saya bukan penasihat keuangan, tapi berdasarkan analisis terkini (Jan 2026), saham Indonesia dengan potensi pertumbuhan tinggi termasuk di sektor konsumen, energi, dan pertambangan. Contoh: BBNI (banking, undervalued), ICBP (makanan, stabil), dan nickel seperti Trimegah Bangun",positif,icbp
2026-01-06,Membandingkan Arah Bisnis Fiber Optik Telkom (TLKM) dan Indosat (ISAT),netral,tlkm
2026-01-06,"Stock Picks 6 Januari 2026 TLKM Spec Buy dengan support 3510, cut loss jika break di bawah 3440. Jika tidak break di bawah 3510, potensi naik ke 3650-3720 short term. Disclaimer: http://bit.ly/disclaimer-cgsiid#cgsi#cgsid#stockpicks#sobatgenvest#akuinvestorsaham",netral,tlkm
2026-01-06,"Beberapa saham IDX yang potensial dibeli sekarang (Jan 2026) berdasarkan tren terkini: TLKM (Telkom, stabil di telekom), ASII (Astra, diversifikasi otomotif), DOID (Delta Dunia, mining naik), dan GOTO (tech, pertumbuhan digital). Potensi naik dari pemulihan ekonomi & January",positif,tlkm
2026-01-06,"Masuk Daftar Emiten Paling Menarik, Saham TLKM Bisa Naik 7%-16%",positif,tlkm
2026-01-06,"Perbandingan Singkat Fiber Optik TLKM vs ISAT (2026)Aspek Telkom (TLKM) Indosat (ISAT) Market Share Dominan (66-75%, ~10-11 juta subs) Kecil tapi tumbuh cepat (HiFi) Infrastruktur Besar (175 ribu km fiber) Lebih kecil (86 ribu km via FiberCo) Strategi Spin-off ke Infranexia",positif,tlkm
2026-01-06,"PT Telkom Indonesia (Persero) Tbk, Nama Baru Pemilik Saham TLKM https://vibiznews.com/index.php/2020/12/04/pt-telkom-indonesia-persero-tbk-nama-baru-pemilik-saham-tlkm/via@Vibiznews.com",netral,tlkm
2026-01-06,"$IHSG ATH intraday dan ditutup naik 0,84%, rally 5 hari berturut-turut. Mayoritas sektor naik terkecuali Transportasi. Total transaksi 34,16T. NFB All Market 590,94B. Top Sector: Basic-Ind, Industrial Top Leaders: $AMMN, $BBCA , $BBRI Top Laggards: $BMRI, $TLKM, $DSSA",positif,tlkm
2026-01-06,"UPDATE WATCHLIST SAHAM: $BBYB sempet naik 5.83% tapi close di -2.91% $BUVA (High Risk) +8.20% $TLKM -2.51% $NKCL +12.29% Yang gak mau ketinggalan, klik link di Bio",positif,tlkm
2026-01-06,"tinggal nunggu yang bmri nih, ditunggu email baiknya",netral,bmri
2026-01-06,Ancur2an BMRI,negatif,bmri
2026-01-06,"$IHSG ATH intraday dan ditutup naik 0,84%, rally 5 hari berturut-turut. Mayoritas sektor naik terkecuali Transportasi. Total transaksi 34,16T. NFB All Market 590,94B. Top Sector: Basic-Ind, Industrial Top Leaders: $AMMN, $BBCA , $BBRI Top Laggards: $BMRI, $TLKM, $DSSA",positif,bmri
2026-01-06,Nikmati diskon s.d. Rp1 juta* di Shopee pakai Mandiri Kartu Kredit! Berlaku s.d. 31 Maret 2026. *Info: http://bmri.id/shopeeregulerBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.#MandiriKartuKredit#BankMandiri,positif,bmri
2026-01-06,"Top-up paket data IM3 langsung di Livin’ by Mandiri dan nikmati diskon s.d. Rp300 ribu*! Berlaku hingga 31 Januari 2026. *Info: http://bmri.id/im3newyearBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia,sertamerupakanpesertapenjaminanLPS.",positif,bmri
2026-01-06,"Cashback Rp100 ribu* & diskon hingga 20%* tukar Livin’poin di berbagai brand favorit pakai Mandiri Kartu Kredit/Debit! Berlaku s.d. 31 Desember 2026 *Info: http://bmri.id/MAPinditexBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia,sertamerupakan",netral,bmri
2026-01-06,"Top-up paket data Tri lewat Livin’ by Mandiri dan dapatkan diskon hingga Rp88 ribu*! Promo berlaku sampai 31 Januari 2026. *Info: http://bmri.id/LivinTriNewYearBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia,sertamerupakanpesertapenjaminanLPS.",netral,bmri
2026-01-06,"Bang buat orang yg masih awam trading, waktu yg tepat utk beli saham bluechip yg bagi dividen apakah setelah exdate? misal BMRI, BBRI. Untuk belinya bagusnya dicicil sampai ada cumdatenya kah?",positif,bmri
